Jurisdiction,"Total Allocated Vial​sas of Sep 02 2022, 12pm","Total Requested as of Sep 02 2022, 12pm","Total Shipped as of Sep 02 2022, 12pm",Last Updated
All Jurisdictions,1090186,772753,772753,2022-09-07 12:13
Alabama,6163,3703,3703,2022-09-07 12:13
Alaska,660,400,400,2022-09-07 12:13
American Samoa,40,40,40,2022-09-07 12:13
Arizona,16433,11633,11633,2022-09-07 12:13
Arkansas,3280,2460,2460,2022-09-07 12:13
California,112309,87469,87469,2022-09-07 12:13
California - Los Angeles,73802,57262,57262,2022-09-07 12:13
Colorado,18145,12805,12805,2022-09-07 12:13
Connecticut,6328,4168,4168,2022-09-07 12:13
Delaware,1895,1175,1175,2022-09-07 12:13
District of Columbia,28995,24175,24175,2022-09-07 12:13
Federated States of Micronesia,0,0,0,2022-09-07 12:13
Florida,112680,74720,74720,2022-09-07 12:13
Georgia,53542,31642,31642,2022-09-07 12:13
Guam,120,60,60,2022-09-07 12:13
Hawaii,3852,3192,3192,2022-09-07 12:13
Idaho,2000,1180,1180,2022-09-07 12:13
Illinois,19198,14298,14298,2022-09-07 12:13
Illinois - Chicago,50469,38109,38109,2022-09-07 12:13
Indiana,11872,7812,7812,2022-09-07 12:13
Iowa,2441,1681,1681,2022-09-07 12:13
Kansas,2156,1656,1656,2022-09-07 12:13
Kentucky,6140,3580,3580,2022-09-07 12:13
Louisiana,11882,8862,8862,2022-09-07 12:13
Maine,1411,1071,1071,2022-09-07 12:13
Marshall Islands,0,0,0,2022-09-07 12:13
Maryland,23299,14539,14539,2022-09-07 12:13
Massachusetts,24171,18311,18311,2022-09-07 12:13
Michigan,14318,8878,8878,2022-09-07 12:13
Minnesota,10658,6958,6958,2022-09-07 12:13
Mississippi,3161,1821,1821,2022-09-07 12:13
Missouri,9073,6053,6053,2022-09-07 12:13
Montana,778,478,478,2022-09-07 12:13
Nebraska,1641,1281,1281,2022-09-07 12:13
Nevada,8642,4762,4762,2022-09-07 12:13
New Hampshire,1467,1067,1067,2022-09-07 12:13
New Jersey,22269,16149,16149,2022-09-07 12:13
New Mexico,3436,2316,2316,2022-09-07 12:13
New York,43375,31855,31855,2022-09-07 12:13
New York - New York City,118444,97764,97764,2022-09-07 12:13
North Carolina,20288,14608,14608,2022-09-07 12:13
North Dakota,555,335,335,2022-09-07 12:13
Northern Mariana Islands,60,40,40,2022-09-07 12:13
Ohio,18713,11333,11333,2022-09-07 12:13
Oklahoma,5316,4196,4196,2022-09-07 12:13
Oregon,11498,9078,9078,2022-09-07 12:13
Palau,0,0,0,2022-09-07 12:13
Pennsylvania,18551,11831,11831,2022-09-07 12:13
Pennsylvania - Philadelphia,8830,6630,6630,2022-09-07 12:13
Puerto Rico,5367,2807,2807,2022-09-07 12:13
Rhode Island,4014,2154,2154,2022-09-07 12:13
South Carolina,6387,4287,4287,2022-09-07 12:13
South Dakota,1711,291,291,2022-09-07 12:13
Tennessee,17602,6762,6762,2022-09-07 12:13
Texas,50814,37314,37314,2022-09-07 12:13
Texas - Houston,27026,14146,14146,2022-09-07 12:13
Tribal Entities,93,0,0,2022-09-07 12:13
U.S. Virgin Islands,240,180,180,2022-09-07 12:13
Utah,6169,4449,4449,2022-09-07 12:13
Vermont,2006,266,266,2022-09-07 12:13
Virginia,22259,15339,15339,2022-09-07 12:13
Washington,23930,16210,16210,2022-09-07 12:13
West Virginia,2277,1057,1057,2022-09-07 12:13
Wisconsin,5614,3854,3854,2022-09-07 12:13
Wyoming,321,201,201,2022-09-07 12:13
